"1a. Share/Unit acquired (On or before/ after 31st Jan 2018)","2. ISIN Code","3. Name of the Share/Unit","4. No. of Shares/Units","5. Sale-price per Share/Unit","6. Full Value of Consideration If shares/units are acquired on or before 31st January, 2018 (Total Sale Value) (4*5) or  If  shares/units are acquired after 31st January, 2018 - Please enter Full Value of Consideration","7. Cost of acquisition without indexation (higher of 8 or 9 )","8. Cost of acquisition","9. If the long term capital asset was acquired before 01.02.2018, Lower of 6 & 11","10. Fair Market Value per share/unit as on 31st January,2018","11. Total Fair Market Value as on 31st January, 2018 of capital asset as per section 55(2)(ac)- (4*10)","12. Expenditure wholly and exclusively in connection with transfer","13. Total deductions (7+12)","14. Balance (6 − 13) -Item 4 (a) of LTCG Schedule of ITR3"
"After 31st January, 2018","INE018A01030","LT","2","3467.3","6934.6","7262.8","7262.8","0","0","0","0","7262.8","-328.2"
"After 31st January, 2018","INE131A01031","GMDCLTD","6","461.05","2766.3","2551.5","2551.5","0","0","0","0","2551.5","214.8"
"After 31st January, 2018","INE131A01031","GMDCLTD","1","461.05","461.05","399.6","399.6","0","0","0","0","399.6","61.45"
"After 31st January, 2018","INE213A01029","ONGC","8","244.4","1955.2","2447.6","2447.6","0","0","0","0","2447.6","-492.4"
"After 31st January, 2018","INE213A01029","ONGC","2","244.4","488.8","536.0","536.0","0","0","0","0","536.0","-47.2"
"After 31st January, 2018","INE885A01032","ARE&M","2","1005.75","2011.5","3266.3","3266.3","0","0","0","0","3266.3","-1254.8"
"After 31st January, 2018","INE885A01032","ARE&M","1","1005.75","1005.75","1607.2","1607.2","0","0","0","0","1607.2","-601.45"
"After 31st January, 2018","INE271C01023","DLF","1","836.65","836.65","836.35","836.35","0","0","0","0","836.35","0.3"
"After 31st January, 2018","INE271C01023","DLF","2","836.65","1673.3","1831.1","1831.1","0","0","0","0","1831.1","-157.8"
"After 31st January, 2018","INE271C01023","DLF","8","836.65","6693.2","7192.0","7192.0","0","0","0","0","7192.0","-498.8"
"After 31st January, 2018","INE271C01023","DLF","2","836.65","1673.3","1677.9","1677.9","0","0","0","0","1677.9","-4.6"
"After 31st January, 2018","INE692A01016","UNIONBANK","16","152.0","2432.0","2248.0","2248.0","0","0","0","0","2248.0","184.0"
"After 31st January, 2018","INE692A01016","UNIONBANK","50","152.0","7600.0","7705.0","7705.0","0","0","0","0","7705.0","-105.0"
"After 31st January, 2018","INE692A01016","UNIONBANK","22","152.0","3344.0","3097.6","3097.6","0","0","0","0","3097.6","246.4"
"After 31st January, 2018","INE114A01011","SAIL","18","130.8","2354.4","3067.2","3067.2","0","0","0","0","3067.2","-712.8"
"After 31st January, 2018","INE114A01011","SAIL","35","134.15","4695.25","5354.3","5354.3","0","0","0","0","5354.3","-659.05"
"After 31st January, 2018","INE483S01020","INFIBEAM","400","16.42","6568.0","15419.2","15419.2","0","0","0","0","15419.2","-8851.2"
"After 31st January, 2018","INE257A01026","BHEL","20","249.55","4991.0","6168.0","6168.0","0","0","0","0","6168.0","-1177.0"
"After 31st January, 2018","INE257A01026","BHEL","3","249.55","748.65","999.6","999.6","0","0","0","0","999.6","-250.95"
"After 31st January, 2018","INE584A01023","NMDC","9","71.78","646.03","2221.56","2221.56","0","0","0","0","2221.56","-1575.53"
"After 31st January, 2018","INE584A01023","NMDC","2","71.78","143.56","493.68","493.68","0","0","0","0","493.68","-350.12"
